Cipher,LUT,bit_slice,Permutation,Involution,Diff,DiffFreq,Diff1,CardD1,Lin,LinFreq,Lin1,CardL1,max_degree,min_degree,MaxDegreeFreq,MinDegreeFreq,Max_ProductDegrees,LS_number,"max_v (v, w)-linear","max_w (v, w)-linear",Optimal_Class,Cost (GE) TSMC65nm,Cost is Best ,inv_LUT,inv_bit_slice,inv_max_degree,inv_min_degree,inv_MaxDegreeFreq,inv_MinDegreeFreq,inv_Max_ProductDegrees,inv_LS_number,"inv_max_v (v, w)-linear","inv_max_w (v, w)-linear",inv_Optimal_Class
Golden_S3,00030508060c0b070a04090e0f01020d,9d68_9ab4_59d2_b4c6,True,False,4,18,0,0,8,32,4,8,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G10,0,-,000d0e0109020407030a0806050f0b0c,e616_b8c6_6ba4_719a,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G10
Golden_S0,0003050806090c070d0a0e04010f0b02,6768_2dd4_e692_71a6,True,False,4,18,0,0,8,32,4,8,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G9,0,-,000c0f010b0204070305090e06080a0d,ec16_9ac6_59b4_879c,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G9
Golden_S1,00030508060c0b07090e0a0d0f020104,1f68_9ab4_36d2_59c6,True,False,4,18,0,0,8,32,4,8,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G9,0,-,000e0d010f02040703080a06050b090c,e616_98d6_2db2_719c,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G9
Optimal_S8,0001020d04070f06080e09050a0b030c,b748_8af8_72e4_6c6a,True,False,4,24,4,6,8,36,8,8,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8,0,-,0001020e040b0705080a0c0d0f030906,5f28_9cd8_b26c_78e2,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8
Optimal_S2,0001020d04070f06080b0e030a0c0509,b748_64f8_1ee4_ca6a,True,False,4,24,2,7,8,36,8,7,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G2,0,-,0001020b040e0705080f0c090d030a06,5f28_96f0_e26c_3aca,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G0
Optimal_S0,0001020d04070f06080b0c09030e0a05,6f48_a4f8_72e4_9a6a,True,False,4,24,4,7,8,36,8,9,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G0,0,-,0001020c040f0705080b0e090a030d06,5f28_c4f8_b664_6ae2,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G2
Optimal_S10,0001020d04070f06080e0b050a09030c,b748_8af8_56e4_6c6a,True,False,4,18,4,7,8,32,8,10,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G10,0,-,0001020e040b0705080d0c0a0f030906,5f28_96d8_b86c_72e2,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G10
Optimal_S14,0001020d04070f06080e0c0b0309050a,af48_46f8_9ae4_786a,True,False,4,18,2,7,8,32,8,12,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G14,0,-,0001020c040e0705080d0f0b0a030906,5f28_86f8_bc64_6ec2,3,2,14,1,[3|3|3|4],3,"(3, 1)","(2, 3)",G15
Optimal_S9,0001020d04070f06080e0b0305090a0c,e748_92f8_4ee4_3c6a,True,False,4,18,2,8,8,32,8,7,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G9,0,-,0001020b040c0705080d0e0a0f030906,5f28_96f0_bc4c_72ca,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G9
Optimal_S1,0001020d04070f06080b0e0305090a0c,e748_94f8_4ee4_3a6a,True,False,4,24,4,8,8,36,8,8,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G1,0,-,0001020b040c0705080d0e090f030a06,5f28_96f0_f44c_3aca,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G1
